name,lat,lon,name2,coast
636,37.165,-75.988333,KIPTOPEKE BEACH,960
2324,37.995,-76.465,"LEWISETTA, VIRGINIA",960
412,38.316667,-76.451667,SOLOMON'S ISLAND (BIOL. LAB.),960
1295,38.573333,-76.068333,CAMBRIDGE II,960
224,38.781667,-75.12,LEWES (BREAKWATER HARBOR),960
1153,38.968333,-74.96,CAPE MAY,960
148,39.266667,-76.578333,BALTIMORE,960
135,39.933333,-75.141667,PHILADELPHIA (PIER 9N),960
12,40.7,-74.013333,NEW YORK (THE BATTERY),960
1068,41.173333,-73.181667,BRIDGEPORT,960
1111,41.285,-70.096667,NANTUCKET ISLAND,960
429,41.36,-72.09,NEW LONDON,960
351,41.505,-71.326667,NEWPORT,960
235,42.353333,-71.053333,BOSTON,960
183,43.656667,-70.246667,PORTLAND  (MAINE),960
332,44.903333,-66.981667,EASTPORT,960
1299,46.216667,-60.25,NORTH SYDNEY,970
126,46.333333,-72.55,TROIS-RIVIERES,970
1798,46.4,-72.383333,BECANCOUR,970
144,46.5,-72.25,BATISCAN,970
201,46.566667,-72.1,DESCHAILLONS,970
951,46.683333,-71.883333,PORTNEUF,970
192,46.7,-71.566667,NEUVILLE,970
999,47.0,-70.816667,ST-FRANCOIS,970
1244,47.45,-70.366667,ST-JOSEPH-DE-LA-RIVE,970
393,47.566667,-52.716667,"ST. JOHN'S, NFLD.",970
1597,48.483333,-68.516667,RIMOUSKI,970
1322,50.2,-66.4,SEPT-ILES,970
447,58.766667,-94.183333,CHURCHILL,970
913,-65.246233,-64.257417,ARGENTINE ISLANDS,999
